PENYAKIT;M-1;M-2;M-3;M-4;M-5;M-6;M-7;M-8;M-9;M-10;M-11;M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-19;M-20;M-21;M-22;M-23;M-24;M-25;M-26;M-27;M-28;M-29;M-30;M-31;M-32;M-33;M-34;M-35;M-36;M-37;M-38;M-39;M-40;M-41;M-42;M-43;M-44;M-45;M-46;M-47;M-48;M-49;M-50;M-51;M-52;
Diare Akut;65771;74664;74945;73174;71724;57923;67571;70954;67565;60808;55339;62557;55395;51401;39090;67029;67757;60333;57835;65110;55846;59657;62465;57425;54625;63142;63714;67340;69077;69115;68504;68656;62955;68747;68418;68993;67071;64472;65789;65535;68296;68629;68043;65825;68632;69083;69343;64902;66560;67383;67359;59555;
Malaria Konfirmasi;3647;5340;5937;6742;6940;4811;6146;7438;7527;7186;6140;7577;6136;5784;4764;7030;7462;6515;6789;7812;6992;7883;7583;8227;7520;8195;7524;7073;7232;7064;6374;6384;6055;6556;6258;5858;6365;6049;6326;6190;6341;6625;5731;5453;5904;6302;5452;5745;5778;5539;4904;3620;
Suspek Dengue;9037;11409;12512;14378;14705;12917;14872;17507;18654;17193;18591;20792;19888;18301;13414;20816;21914;20117;20086;21641;19989;19610;19329;16944;15238;15592;13791;13359;13206;12782;12171;11516;10349;10161;9977;9521;9001;8593;8764;8762;9145;9439;10264;9780;10157;10758;11816;11573;12436;14086;14990;14456;
Pnemonia;9792;10566;10426;11227;11659;10133;12716;13546;13667;12838;12479;13671;12397;11246;6715;12435;11987;10865;10563;11490;9246;9434;9728;8657;8078;9383;9087;8823;8745;9490;9824;9922;9441;10761;11382;11255;10787;10791;11720;11267;11989;11798;12350;11898;11992;11778;11951;11625;11550;12547;12719;10871;
Diare Berdarah/ Disentri;1287;1457;1277;1281;1295;1048;1254;1294;1228;1063;1102;1275;1027;934;716;1182;1222;1192;1066;1212;1082;1150;1193;1067;1099;1144;1165;1231;1261;1314;1358;1197;1112;1231;1164;1197;1121;1181;1223;1201;1296;1170;1213;1284;1300;1273;1242;1227;1316;1266;1370;1098;
Suspek Demam Tifoid;10831;12747;13492;14076;13699;11554;14040;16234;16671;16372;16369;18950;16972;14961;9262;16002;17081;16594;15647;17088;14419;14258;14478;13063;12124;14872;12420;13101;14311;13460;13430;13265;12312;13313;13673;13753;13010;12915;13277;13459;14012;14482;15162;15016;15517;15422;15729;15079;15543;16278;17039;14756;
Sindrom Jaundice Akut;203;239;229;226;198;183;216;229;209;195;176;222;227;211;112;252;220;199;195;255;207;260;244;212;196;225;309;187;261;249;241;221;221;304;260;277;240;287;289;225;313;298;239;324;306;288;276;281;268;277;255;274;
Suspek Chikungunya;186;224;130;198;276;174;217;203;353;287;172;277;232;56;84;147;96;129;132;218;128;187;114;201;186;198;186;229;193;119;154;240;77;117;65;71;72;78;103;93;128;126;157;135;186;176;222;246;400;338;359;245;
Suspek Flu Burung Pada Manusia;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1;;;;;;;;;;;;;;1;;;
Suspek Campak;607;552;728;763;841;641;605;952;685;664;558;773;543;512;208;548;645;609;571;778;543;622;680;540;438;589;663;618;723;675;734;660;553;639;639;760;717;596;777;722;693;743;705;785;760;792;743;666;672;766;728;514;
Kasus Observasi Difteri;29;33;59;48;33;45;41;28;30;30;24;36;37;23;14;16;51;24;32;52;30;35;35;23;55;40;45;48;27;36;33;48;25;37;43;40;29;29;36;44;31;25;39;35;49;36;42;36;40;37;36;29;
Suspek Pertusis;54;60;79;102;94;48;63;78;54;47;47;49;39;61;17;51;43;61;41;69;29;53;49;45;45;65;54;65;48;85;55;58;61;78;61;63;84;66;79;68;71;79;62;51;84;70;90;59;74;77;94;53;
Acute Flacid Paralysis (AFP);93;119;110;101;89;62;70;97;85;84;77;110;92;42;16;50;90;58;73;127;121;116;109;113;111;114;126;139;136;138;123;141;111;86;107;125;107;114;110;119;148;146;146;157;122;129;113;105;106;94;73;47;
Gigitan Hewan Penular Rabies;2472;2794;2813;2925;2901;2660;2945;2850;2757;2356;2617;2814;2630;2365;2233;2732;2928;2892;2784;3186;2791;2934;3016;2730;2968;3006;2959;2990;3095;3170;2985;3211;3041;2984;2940;2918;2962;2975;3047;2851;3048;3172;3127;3163;3061;3154;3113;3115;2856;2931;2588;2490;
Suspek Antrax;;;1;;;;1;1;1;22;16;;;3;;;;1;;;;;;;;;1;2;1;;;;;;;1;;2;;;;;;;;;;;;;;;
Suspek Leptospirosis;17;78;115;51;44;32;70;76;59;39;40;73;89;96;41;59;83;72;65;69;36;43;49;41;73;31;43;49;75;90;30;48;33;22;34;37;24;32;35;31;38;45;36;26;44;42;44;57;57;50;51;64;
Suspek Kolera;2;2;2;1;5;2;;2;2;;;1;2;1;;;1;;;1;5;;3;2;;;;;;1;3;;2;2;4;4;1;1;2;2;1;1;;1;;1;1;2;1;2;3;1;
Kluster Penyakit yang tidak lazim;122;111;60;80;114;87;111;143;193;146;117;146;138;116;107;102;130;136;118;138;164;193;165;165;156;194;156;178;189;124;91;73;118;145;139;128;212;185;222;202;179;394;586;347;394;383;367;387;337;389;289;290;
Suspek Meningitis/Encephalitis;98;77;92;79;96;69;94;85;75;79;86;105;95;78;66;95;81;73;63;86;105;82;79;78;81;88;148;75;88;65;72;82;77;90;98;62;87;130;106;93;71;116;133;84;107;115;121;95;101;105;93;106;
Suspek Tetanus Neonatorum;1;;1;1;2;3;1;1;4;1;1;1;3;3;;;5;1;7;2;;2;5;3;6;;;2;4;6;3;1;2;8;1;2;7;4;;;1;;2;2;1;3;;2;;1;;;
Suspek Tetanus;69;54;67;65;74;58;57;39;60;83;42;43;55;46;31;46;52;51;55;57;52;42;52;42;49;57;52;66;110;53;63;67;68;52;58;52;38;52;58;56;62;87;65;60;72;54;74;53;55;66;63;50;
ILI (Penyakit Serupa Influenza);43154;51352;49668;50421;48470;38566;48308;50993;50730;49279;47419;52787;45922;43134;24062;47052;50500;45834;43234;48828;40437;42083;42872;41408;37962;44206;42790;44795;43797;44930;45829;46570;44265;47998;49528;48636;45664;45639;47832;46678;48676;50166;51672;50271;51188;50489;50523;48626;49331;50093;49259;42807;
Suspek HFMD;232;307;373;403;401;379;471;622;753;804;825;737;728;620;429;947;1390;1711;1717;2166;1675;1563;1463;1164;1156;1028;772;668;505;645;342;263;235;330;272;281;276;261;323;297;333;377;365;426;357;438;375;316;389;1531;888;244;
ISPA;236;261;110;366;102;100;108;117;54;51;140;125;63;39;42;48;56;53;66;86;184;49;47;81;52;44;55;214;47;132;46;59;47;112;50;50;69;63;83;58;53;121;44;107;27;27;39;53;140;91;244;174;
Covid-19 Konfirmasi;6665;8215;8210;8639;8564;6210;8625;10074;11174;9940;8868;10988;8059;8137;3597;8887;8463;7693;6911;8147;6165;6324;6683;6183;6100;7043;6980;7675;7948;7947;8463;9031;9168;14378;11129;14130;11476;10427;11677;11748;11534;12308;13404;13431;13212;13228;13895;12460;12561;13494;13512;11796;
