PENYAKIT;M-1;M-2;M-3;M-4;M-5;M-6;M-7;M-8;M-9;M-10;M-11;M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-19;M-20;M-21;M-22;M-23;M-24;M-25;M-26;M-27;M-28;M-29;M-30;M-31;M-32;M-33;M-34;M-35;M-36;M-37;M-38;M-39;M-40;M-41;M-42;M-43;M-44;M-45;M-46;M-47;M-48;M-49;M-50;M-51;M-52;M-53
Diare Akut;68754;80857;80893;75118;61152;78874;76710;76402;71424;71064;70000;64394;49686;49570;77548;73670;79765;73991;72750;67409;78135;65470;63127;72470;74932;69133;75616;79784;81757;84460;81312;82953;80246;78339;80403;73549;83551;84541;83819;81962;81703;80232;80074;78202;79210;80643;79219;78379;76886;81027;74581;62427;67747
Malaria Konfirmasi;4933;7775;8495;8412;7287;8532;9428;8992;8417;8138;9617;8957;6453;6169;8890;7675;8824;8697;9106;8758;9341;8988;9152;10072;10079;9342;10023;11873;10468;10892;9588;9341;10215;9246;10512;9145;9028;9341;9737;9903;9463;9706;9765;9297;8154;8051;8434;8962;8146;9546;7564;4765;5098
Suspek Dengue;16869;19789;20753;19194;16239;18567;17910;17065;16080;15492;15498;14724;10934;9654;14363;13640;14415;14000;13771;13515;14755;13167;12349;13844;13443;12331;12451;11997;11866;12465;12189;11670;11697;10412;10935;9753;10236;10624;11242;10886;10707;10918;10469;10441;9786;9763;9356;9242;9082;9402;9027;7645;7963
Pnemonia;14003;15366;15076;14340;12664;16353;16063;16222;16678;16777;15201;13913;10600;8288;14617;13127;14359;13610;13242;12234;13651;12020;11664;13330;13301;12472;13359;12193;12172;13097;13968;14416;14506;14774;16541;19028;17539;17364;18486;17926;18674;18784;18195;17429;17845;17496;17719;17836;17871;17579;17726;14848;14940
Diare Berdarah/ Disentri;1306;1425;1398;1197;1091;1348;1332;1459;1122;1234;1223;1149;758;729;1188;1134;1398;1261;1122;1019;1189;1012;1000;1161;1164;1091;1226;1274;1198;1249;1309;1252;1110;1046;1303;1064;1288;1190;1163;1214;1179;1131;1143;1216;1234;1217;1216;1202;1239;1310;1092;922;992
Suspek Demam Tifoid;18215;20629;21583;19693;16232;20607;19611;19540;18334;18002;17256;15827;11297;8736;15952;16292;17720;17327;16506;15312;17699;15589;15116;16629;17450;16639;16913;16986;16733;18394;18227;18391;18189;17887;19978;18913;19746;20579;21634;21336;22140;21627;21521;21312;20986;20727;20396;20491;19035;18864;17720;14357;14271
Sindrom Jaundice Akut;381;397;389;357;252;355;342;435;420;405;361;442;296;177;387;363;348;382;379;358;477;346;321;385;356;329;363;316;407;388;457;438;405;391;465;399;434;423;418;367;434;412;460;458;452;473;436;460;437;450;488;350;373
Suspek Chikungunya;572;633;949;754;376;671;540;592;468;502;501;410;212;225;712;519;570;455;511;562;738;548;464;629;632;535;587;508;536;558;456;435;312;270;331;269;371;341;312;315;204;346;282;250;240;273;290;354;266;339;245;370;300
Suspek Flu Burung Pada Manusia;13;2;0;6;1;2;3;0;1;2;2;3;0;0;1;0;0;1;1;1;0;0;1;1;1;4;1;0;0;0;3;1;4;2;6;9;8;8;0;1;0;1;0;4;3;0;3;0;0;0;0;0;0
Suspek Campak;828;1155;1374;1200;923;1416;1327;1295;1223;1215;1139;990;646;352;844;970;1108;1006;1161;1045;1260;1072;1052;1155;1304;1182;1374;1330;1393;1478;1617;1639;1536;1742;2292;2390;2672;2655;3007;2856;2998;3267;3432;3394;3319;3527;3624;3821;3710;3728;3990;3490;3781
Kasus Observasi Difteri;21;24;45;40;32;34;37;53;39;37;29;31;26;11;35;32;37;37;29;23;30;21;36;29;18;58;28;37;22;31;23;25;45;33;29;27;52;40;45;35;35;41;36;20;26;36;26;16;26;27;41;33;18
Suspek Pertusis;104;98;98;104;87;95;101;83;128;92;65;67;33;16;61;64;65;59;46;54;58;48;56;65;44;73;64;79;81;74;67;69;59;59;64;61;87;73;74;57;85;57;86;85;87;88;102;90;82;75;73;53;53
Acute Flacid Paralysis (AFP);50;91;111;98;62;99;146;133;127;117;118;112;51;19;60;80;110;114;108;98;177;123;100;91;140;112;124;138;132;156;130;102;119;101;111;88;86;82;118;91;97;97;97;93;93;85;81;84;70;52;58;31;20
Gigitan Hewan Penular Rabies;2750;2972;3245;2950;2985;3211;3119;3256;3188;3349;3360;3234;2701;3254;3927;3718;4098;3968;3785;4031;4156;4013;3688;3781;4337;4236;4286;4402;4590;4432;4195;4399;4143;4214;4364;4145;4504;4492;4550;3996;4034;3921;3960;3978;3883;3852;3834;3750;3652;3717;3791;3628;3805
Suspek Antrax;0;0;0;0;0;0;0;0;0;0;0;0;3;0;6;2;3;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;1;1;2;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
Suspek Leptospirosis;64;69;81;89;67;99;126;122;90;98;114;109;96;79;102;96;107;89;109;119;95;104;107;129;104;76;98;88;103;86;83;89;71;78;73;76;88;71;129;84;79;100;69;83;98;98;92;124;130;112;108;85;112
Suspek Kolera;3;7;7;4;1;5;2;4;3;5;1;3;0;1;4;3;5;6;7;2;7;2;8;2;3;2;5;4;2;5;3;6;3;8;2;2;1;0;0;2;2;1;6;6;2;7;3;2;6;2;1;3;2
Suspek Meningitis/Encephalitis;146;130;151;105;143;122;121;126;135;139;163;113;91;73;122;113;135;121;128;106;128;132;88;134;149;137;157;152;121;156;147;142;150;146;147;121;133;140;112;140;157;122;148;123;158;146;140;145;131;125;153;123;112
Suspek Tetanus Neonatorum;7;1;3;1;4;2;1;2;0;5;1;1;2;0;2;0;8;8;13;2;1;6;2;0;2;10;5;1;1;1;1;1;2;1;2;4;1;1;1;1;2;3;1;4;4;0;1;2;3;2;0;1;1
Suspek Tetanus;73;62;88;72;69;82;70;74;78;70;66;70;43;41;52;63;77;51;67;64;91;61;72;78;79;64;76;65;72;79;86;72;59;68;65;81;101;78;72;77;79;67;78;75;76;79;79;76;86;97;73;80;91
