PENYAKIT;M-1;M-2;M-3;M-4;M-5;M-6;M-7
Diare Akut;90815;854;9255;93723;92911;85019;71107
Malaria Konfirmasi;8215;8295;9185;9017;7941;7901;6928
Suspek Dengue;10253;9839;10161;9987;9615;8793;8381
Pnemonia;19679;17641;19575;19786;1914;18078;17611
Diare Berdarah/ Disentri;141;1301;1373;1361;1363;1145;1114
Suspek Demam Tifoid;18457;17363;18832;194;18403;17189;1513
Sindrom Jaundice Akut;565;543;629;563;544;523;457
Suspek Chikungunya;391;289;482;298;244;151;173
Suspek Flu Burung Pada Manusia; ; ; ; ; ;1; 
Suspek Campak;4932;4735;5364;529;4928;458;4769
Kasus Observasi Difteri;59;26;48;38;40;34;34
Suspek Pertusis;121;117;129;135;109;90;85
Acute Flacid Paralysis (AFP);53;59;68;48;71;52;48
Gigitan Hewan Penular Rabies;4157;4224;4499;4511;4357;3795;4344
Suspek Antrax;2; ; ; ;1;5; 
Suspek Leptospirosis;114;164;180;214;243;163;176
Suspek Kolera;7;4;8;7;10;2; 
Suspek Meningitis/Encephalitis;183;147;164;152;146;128;141
Suspek Tetanus Neonatorum;2; ;3;1;2;3;1
Suspek Tetanus;84;85;114;103;78;70;69
ILI (Penyakit Serupa Influenza);34518;32369;35975;3663;35628;33694;28203
Suspek HFMD;592;629;879;870;1038;967;1111
ISPA;356351;330507;383564;392864;39794;391698;310972
Covid-19 Konfirmasi;135;53;40;28;17;66;11
Total Kunjungan;7280621;6537352;7312710;7030974;7226867;7300967;5828264
